"y" "theta"
3 1.1023364280081
2 1.30666584028821
1 1.0331245169023
2 0.950846270062835
1 0.91797600630636
2 0.855958715402343
6 1.22308032100844
4 1.0130003764922
3 0.90698788311179
1 0.668578549408542
2 0.881668111682546
1 0.501866489913515
1 -0.0109715568776315
1 0.0400706565259096
0 -0.0394808846630457
0 -0.095898476756772
0 -0.138092916961427
0 -0.347643471027243
0 -0.365824949226431
0 -0.413027069797213
1 -0.432007372362754
0 -0.442121192087708
1 -0.599785007473568
2 -0.684180540201673
1 -0.533714737249896
0 -0.64043550053684
0 -0.720005394380049
0 -0.465998302723441
2 -0.418359506351878
2 -0.360625255072565
0 -0.330614716834882
0 -0.516577244782137
0 -0.864621052724039
0 -0.840099911973394
0 -1.04749748527444
0 -1.16135261789954
0 -1.248611500031
0 -1.26586389632559
0 -1.28309617007182
0 -1.2807585403367
0 -0.857313154727012
0 -1.05963418102292
0 -0.767657815202568
0 -0.654879489064325
1 -0.677963965987954
0 -0.627799102804367
2 -0.81168277312419
0 -1.14939523297611
0 -1.05936619678726
0 -1.45388884314791
0 -1.90303170075469
0 -1.67877661120151
1 -1.7948225070505
0 -1.69010208705755
0 -1.61288188691141
0 -1.59279278838797
1 -1.43791237070072
0 -1.52443332315691
0 -1.17974558413826
1 -1.1231421687112
0 -0.99614000447898
0 -1.02877884372711
0 -0.954561728291962
0 -1.00953387979951
1 -1.02259374407624
0 -1.20520022709637
3 -1.17982201786309
0 -1.06284700313321
3 -0.949371453402166
0 -0.816719471150371
0 -0.51992094029935
0 -0.500346424060539
0 -0.682018341106896
0 -0.637066174351682
0 -0.818372578881518
